Date,Open,High,Low,Close,Adj Close,Volume
2024-09-16,229.3000030517578,229.9600067138672,223.52999877929688,226.77999877929688,226.77999877929688,54323000
2024-09-17,229.4499969482422,234.57000732421875,226.5500030517578,227.8699951171875,227.8699951171875,66761600
2024-09-18,230.08999633789062,235.67999267578125,226.8800048828125,227.1999969482422,227.1999969482422,78010200
2024-09-19,234.0,244.24000549316406,232.1300048828125,243.9199981689453,243.9199981689453,102694600
2024-09-20,241.52000427246094,243.99000549316406,235.9199981689453,238.25,238.25,99879100
2024-09-23,242.61000061035156,250.0,241.9199981689453,250.0,250.0,86927200
2024-09-24,254.0800018310547,257.19000244140625,249.0500030517578,254.27000427246094,254.27000427246094,88491000
2024-09-25,252.5399932861328,257.04998779296875,252.27999877929688,257.0199890136719,257.0199890136719,65034300
2024-09-26,260.6000061035156,261.75,251.52999877929688,254.22000122070312,254.22000122070312,67142200
2024-09-27,257.3800048828125,260.70001220703125,254.1199951171875,260.4599914550781,260.4599914550781,70988100
2024-09-30,259.0400085449219,264.8599853515625,255.77000427246094,261.6300048828125,261.6300048828125,80705700
2024-10-01,262.6700134277344,263.9800109863281,248.52999877929688,258.0199890136719,258.0199890136719,87397600
2024-10-02,247.5500030517578,251.16000366210938,241.5,249.02000427246094,249.02000427246094,93983900
2024-10-03,244.47999572753906,249.7899932861328,237.80999755859375,240.66000366210938,240.66000366210938,80729200
2024-10-04,246.69000244140625,250.9600067138672,244.5800018310547,250.0800018310547,250.0800018310547,86573200
2024-10-07,249.0,249.8300018310547,240.6999969482422,240.8300018310547,240.8300018310547,68113300
2024-10-08,243.55999755859375,246.2100067138672,240.55999755859375,244.5,244.5,56303200
2024-10-09,243.82000732421875,247.42999267578125,239.50999450683594,241.0500030517578,241.0500030517578,66289500
2024-10-10,241.80999755859375,242.7899932861328,232.33999633789062,238.77000427246094,238.77000427246094,83087100
2024-10-11,220.1300048828125,223.33999633789062,214.3800048828125,217.8000030517578,217.8000030517578,142628900
2024-10-14,220.1300048828125,221.91000366210938,213.74000549316406,219.16000366210938,219.16000366210938,86117900
2024-10-15,220.0,224.25999450683594,217.1199951171875,220.7050018310547,220.7050018310547,43349086
